index,MovieID,Title,MPAA Rating,Budget,Gross,Release Date,Genre,Runtime,Rating,Rating Count,release date_DD,release month_MM
117,118,Maverick,PG,75000000,183000000,20-05-1994,Action,127,7,96405,20,5
118,119,True Lies,R,115000000,378882411,14-07-1994,Action,141,7.2,223671,14,7
119,120,While You Were Sleeping,PG,17000000,182057016,21-04-1995,Romance,103,6.7,85626,21,4
120,121,Dangerous Minds,R,23000000,179519401,11-08-1995,Crime,99,6.5,45479,11,8
121,122,Grumpier Old Men,PG-13,25000000,71500000,22-12-1995,Comedy,101,6.7,22759,22,12
122,123,Father of the Bride Part II,PG,30000000,76578911,10-02-1995,Comedy,106,6,31971,10,2
123,124,Toy Story,G,30000000,373554033,30-10-1995,Animation,81,8.3,820625,30,10
124,125,Ace Ventura: When Nature Calls,PG-13,30000000,212385533,10-11-1995,Comedy,90,6.4,191266,10,11
125,126,Get Shorty,R,30250000,115101622,20-10-1995,Comedy,105,6.9,72078,20,10
126,127,Mr. Holland's Opus,PG,31000000,106269971,29-12-1995,Family,137,7.3,33906,29,12
127,128,Se7en,R,33000000,327311859,22-09-1995,Action,127,8.6,1323681,22,9
128,129,Casper,PG,50000000,287928194,26-05-1995,Family,100,6.1,110490,26,5
129,130,Congo,PG-13,50000000,152022101,09-06-1995,Drama,109,5.2,39870,9,6
130,131,Apollo 13,PG,52000000,355237933,30-06-1995,Drama,140,7.6,250975,30,6
131,132,Crimson Tide,R,53000000,157387195,12-05-1995,Thriller,116,7.3,95145,12,5
132,133,Pocahontas,G,55000000,346079773,14-06-1995,Animation,81,6.7,156670,14,6
133,134,GoldenEye,PG-13,58000000,352194034,16-11-1995,Action,130,7.2,226013,16,11
134,135,Jumanji,PG,65000000,262797249,15-12-1995,Family,104,7,277496,15,12
135,136,Braveheart,R,72000000,210000000,24-05-1995,Action,177,8.3,907287,24,5
136,137,Die Hard: With a Vengeance,R,90000000,366101666,19-05-1995,Thriller,128,5.4,224254,19,5
137,138,Batman Forever,PG-13,100000000,336529144,16-06-1995,Action,121,5.4,224254,16,6
138,139,Waterworld,PG-13,175000000,264218220,28-07-1995,Action,135,6.2,169984,28,7
139,140,Scream,R,14000000,173046663,20-12-1996,Horror,111,7.2,267513,20,12
140,141,The First Wives Club,PG,26000000,116400000,20-09-1996,Comedy,102,6.4,39451,20,9
141,142,The English Patient,R,27000000,231976425,14-11-1996,War,162,7.4,168450,14,11
142,143,The Birdcage,R,31000000,185260553,08-03-1996,Comedy,117,7.1,74466,8,3
143,144,Phenomenon,PG,32000000,152036382,05-07-1996,Drama,123,6.4,71796,5,7
144,145,A Time to Kill,R,40000000,152266007,24-07-1996,Crime,149,7.5,121642,24,7
145,146,Star Trek: First Contact,PG-13,46000000,150000000,21-11-1996,Science Fiction,111,7.6,111959,21,11
146,147,Broken Arrow,R,50000000,150270147,09-02-1996,Thriller,108,6,86863,9,2
147,148,Jerry Maguire,R,50000000,273552592,06-12-1996,Comedy,139,7.3,226489,6,12
148,149,The Nutty Professor,PG-13,54000000,128769345,26-06-1996,Comedy,95,5.6,103475,26,6
149,150,101 Dalmatians,G,54000000,320689294,17-11-1996,Comedy,103,5.7,94582,17,11
150,151,The Rock,R,75000000,335062621,06-06-1996,Action,136,7.4,297268,6,6
151,152,Independence Day,PG-13,75000000,816969268,25-06-1996,Action,145,7,503229,25,6
152,153,Mission: Impossible,PG-13,80000000,457696359,22-05-1996,Action,110,7.1,365266,22,5
153,154,Ransom,R,80000000,309492681,08-11-1996,Thriller,117,6.6,112739,8,11
154,155,Space Jam,PG,80000000,250200000,15-11-1996,Comedy,88,6.4,145336,15,11
155,156,Twister,PG-13,92000000,494471524,10-05-1996,Action,113,6.4,164803,10,5
156,157,The Hunchback of Notre Dame,PG,100000000,100138851,21-06-1996,Animation,91,6.9,130850,21,6
157,158,Eraser,R,100000000,242295562,21-06-1996,Drama,115,6.1,98473,21,6
158,159,Michael,PG,119700000,119718203,25-12-1996,Fantasy,105,5.7,39051,25,12
159,160,Good Will Hunting,R,10000000,225933435,05-12-1997,Drama,126,8.3,787732,5,12
160,161,I Know What You Did Last Summer,R,17000000,125586134,17-10-1997,Horror,100,5.7,125924,17,10
161,162,Scream 2,R,24000000,172363301,09-12-1997,Horror,120,6.2,147635,9,12
162,163,My Best Friend's Wedding,PG-13,38000000,299288605,19-06-1997,Comedy,105,6.3,120020,19,6
163,164,Liar Liar,PG-13,45000000,302710615,21-03-1997,Comedy,86,6.9,264851,21,3
164,165,As Good as It Gets,PG-13,50000000,314178011,19-12-1997,Comedy,139,7.7,258974,19,12
165,166,George of the Jungle,PG,55000000,174400000,15-07-1997,Family,92,5.4,66725,15,7
166,167,The Lost World: Jurassic Park,PG-13,73000000,229074524,23-05-1997,Action,129,6.6,353168,23,5
167,168,Con Air,R,75000000,224012234,01-06-1997,Action,115,6.9,261542,1,6
168,169,Conspiracy Theory,R,75000000,136982834,07-08-1997,Action,135,6.7,88858,7,8
169,170,Face/Off,R,80000000,245676146,27-06-1997,Thriller,138,7.3,331618,27,6
170,171,Flubber,PG,80000000,177977226,26-11-1997,Science Fiction,93,5.3,79581,26,11
171,172,Hercules,G,85000000,252712101,26-06-1997,Animation,93,7.3,188044,26,6
172,173,Air Force One,R,85000000,315156409,25-07-1997,Action,124,6.5,170035,25,7
173,174,Men in Black,PG-13,90000000,589390539,02-07-1997,Thriller,98,7.3,486947,2,7
174,175,Contact,PG,90000000,171120329,11-07-1997,Science Fiction,150,7.4,239569,11,7
175,176,Tomorrow Never Dies,PG-13,110000000,333011068,11-12-1997,Action,119,6.5,171081,11,12
176,177,Batman and Robin,PG-13,160000000,238200000,12-06-1997,Action,125,7.8,978389,12,6
177,178,Titanic,PG-13,200000000,1845034188,18-11-1997,Romance,194,7.8,978389,18,11
178,179,There's Something About Mary,R,23000000,369884651,15-07-1998,Romance,119,7.1,278096,15,7
179,180,The Waterboy,PG-13,23000000,185991646,06-11-1998,Comedy,90,6.1,140363,6,11
180,181,Shakespeare in Love,R,25000000,289317794,11-12-1998,History,122,7.1,203939,11,12
181,182,The Rugrats Movie,G,30000000,100491683,20-11-1998,Animation,79,5.9,17025,20,11
